Point,RP,Stage,Site,MZ,Experiment,Block,Treatment,NNI,WDI,B2,B3,B4,B5,B6,B7,B8,B11,B12,B8A
1,NRP,V6,1,VH,1,1,180N,1.276,1.031,0.1023,0.1241,0.1427,0.1805,0.2343,0.2624,0.2679,0.3675,0.2926,0.291
2,NRP,V6,1,VH,1,1,240N,1.274,1.034,0.104,0.1256,0.1453,0.1821,0.2402,0.2695,0.2773,0.3744,0.2963,0.2974
3,NRP,V6,1,VH,1,1,0N,1.048,0.907,0.0981,0.1202,0.1373,0.177,0.2354,0.266,0.2723,0.3678,0.2905,0.2911
4,NRP,V6,1,VH,1,1,120N,1.208,0.949,0.0999,0.1219,0.1409,0.179,0.2355,0.2653,0.269,0.37,0.2916,0.2924
5,NRP,V6,1,VH,1,1,60N,1.192,0.977,0.0991,0.1226,0.1411,0.1807,0.2426,0.272,0.2775,0.3715,0.293,0.3008
6,NRP,V6,1,VH,1,2,240N,1.334,1.005,0.1061,0.1276,0.1481,0.1856,0.2379,0.2659,0.271,0.3742,0.297,0.2924
7,NRP,V6,1,VH,1,2,120N,1.275,0.959,0.0986,0.1211,0.1386,0.178,0.2295,0.2566,0.2609,0.3563,0.2869,0.2812
8,NRP,V6,1,VH,1,2,180N,1.253,0.934,0.1006,0.1235,0.1413,0.1802,0.2308,0.2596,0.2629,0.3582,0.2873,0.2831
9,NRP,V6,1,VH,1,2,60N,1.215,1.035,0.0985,0.1221,0.1381,0.1782,0.2412,0.274,0.2781,0.3739,0.2939,0.3011
10,NRP,V6,1,VH,1,2,0N,1.165,0.999,0.1019,0.1244,0.1406,0.1808,0.2413,0.2735,0.2786,0.3735,0.2924,0.301
11,NRP,V6,1,VH,1,3,0N,1.252,0.989,0.1004,0.1213,0.1418,0.1792,0.2272,0.2552,0.262,0.381,0.3046,0.2838
12,NRP,V6,1,VH,1,3,240N,1.305,0.989,0.0985,0.1198,0.1364,0.1734,0.2323,0.2617,0.2654,0.3649,0.2881,0.2878
13,NRP,V6,1,VH,1,3,60N,1.289,1.013,0.0998,0.1217,0.1381,0.1788,0.2435,0.2756,0.2799,0.3703,0.2899,0.3018
14,NRP,V6,1,VH,1,3,120N,1.207,1.05,0.1006,0.1217,0.1375,0.1754,0.2401,0.2732,0.2776,0.3709,0.2882,0.2993
15,NRP,V6,1,VH,1,3,180N,1.259,0.97,0.1039,0.1264,0.1422,0.1835,0.2478,0.2822,0.2873,0.3747,0.2899,0.3089
16,NRP,V6,1,L,2,1,180N,1.25,0.811,0.0988,0.121,0.1458,0.1804,0.2209,0.2465,0.2531,0.383,0.3083,0.2752
17,NRP,V6,1,L,2,1,240N,1.315,0.79,0.1005,0.1242,0.1492,0.183,0.2227,0.2483,0.2531,0.3799,0.3076,0.276
18,NRP,V6,1,L,2,1,0N,1.045,0.579,0.0974,0.1211,0.1478,0.1813,0.2155,0.2388,0.2444,0.3674,0.3055,0.2655
19,NRP,V6,1,L,2,1,120N,1.259,0.754,0.0981,0.122,0.1467,0.182,0.2205,0.2451,0.2526,0.3694,0.3065,0.2705
20,NRP,V6,1,L,2,1,60N,1.238,0.741,0.1,0.1232,0.1472,0.1823,0.2221,0.2469,0.2537,0.3762,0.3074,0.2737
21,NRP,V6,1,L,2,2,240N,1.319,0.677,0.0951,0.1181,0.1421,0.1775,0.2159,0.2416,0.2479,0.3757,0.3028,0.2694
22,NRP,V6,1,L,2,2,120N,1.384,0.822,0.1022,0.1255,0.1502,0.1864,0.2233,0.2469,0.2535,0.3827,0.3098,0.2756
23,NRP,V6,1,L,2,2,180N,1.229,0.743,0.1022,0.1248,0.1525,0.1859,0.2224,0.2453,0.2534,0.3768,0.3069,0.2722
24,NRP,V6,1,L,2,2,60N,1.192,0.647,0.102,0.1241,0.1485,0.1836,0.2217,0.2445,0.2522,0.3796,0.3113,0.2726
25,NRP,V6,1,L,2,2,0N,0.852,0.739,0.0995,0.1222,0.1471,0.1801,0.218,0.2413,0.2462,0.3743,0.3097,0.2679
26,NRP,V6,1,L,2,3,0N,0.966,0.675,0.0996,0.1212,0.1466,0.1791,0.2152,0.2375,0.2435,0.3655,0.2976,0.2659
27,NRP,V6,1,L,2,3,240N,1.374,0.892,0.0995,0.1231,0.147,0.1825,0.2251,0.2512,0.2558,0.3778,0.3039,0.2786
28,NRP,V6,1,L,2,3,60N,1.254,0.89,0.0977,0.1222,0.1452,0.1816,0.2334,0.2618,0.2672,0.3822,0.3053,0.2908
29,NRP,V6,1,L,2,3,120N,1.244,0.816,0.0989,0.1224,0.1457,0.182,0.2226,0.2458,0.2531,0.3745,0.3028,0.2735
30,NRP,V6,1,L,2,3,180N,1.366,0.831,0.0981,0.1209,0.1452,0.1806,0.2175,0.2408,0.246,0.3687,0.3047,0.2687
31,NRP,V6,1,H,3,1,180N,1.291,0.953,0.0886,0.1109,0.1313,0.1678,0.2177,0.246,0.2509,0.3626,0.2872,0.2731
32,NRP,V6,1,H,3,1,240N,1.287,0.84,0.0924,0.1149,0.1381,0.1716,0.2154,0.2418,0.2493,0.367,0.2935,0.2681
33,NRP,V6,1,H,3,1,0N,1.084,0.846,0.0905,0.1141,0.1339,0.1695,0.2181,0.2454,0.2515,0.3639,0.2871,0.2697
34,NRP,V6,1,H,3,1,120N,1.281,0.853,0.0879,0.1097,0.13,0.1651,0.2122,0.2375,0.2442,0.3531,0.2781,0.2628
35,NRP,V6,1,H,3,1,60N,1.248,0.913,0.0876,0.1092,0.1293,0.1623,0.2129,0.2379,0.2444,0.3484,0.2759,0.2638
